fa 143,64,p
featur 12,2,p|12,0,p|12,97,p|12,300,p|19,229,p|19,278,p|21,148,p|23,103,p|23,57,p|24,587,p|30,41,title|30,8,b|30,36,p|30,34,p|30,122,p|30,289,p|30,16,p|32,45,title|32,12,b|32,30,p|32,93,p|32,12,p|32,183,p|32,29,p|32,99,p|33,71,p|33,129,p|33,44,a|33,82,p|33,129,p|33,47,p|33,32,a|33,60,p|33,186,p|33,83,p|33,0,a|33,67,a|33,15,a|34,32,p|34,8,value|34,51,value|35,24,p|35,22,p|35,148,p|35,207,p|35,307,p|35,39,p|35,39,p|35,42,p|35,24,p|37,73,p|39,105,p|39,145,p|39,147,p|39,100,p|39,123,p|39,150,p|39,177,p|40,19,p|40,46,p|40,70,a|43,19,p|47,61,a|51,464,p|54,201,p|54,61,p|54,11,a|54,46,a|54,56,a|54,7,a|55,70,a|57,20,a|57,0,a|57,70,a|57,15,a|57,0,a|57,22,a|57,0,a|57,18,a|57,67,a|64,192,p|64,90,p|64,123,p|65,52,p|74,67,a|74,10,a|76,54,p|76,0,p|76,37,p|77,44,a|77,6,a|77,0,a|77,0,a|77,15,a|77,42,a|78,257,p|78,622,p|78,38,p|78,44,p|78,403,p|78,553,p|78,61,a|78,56,a|79,51,p|81,81,p|81,35,p|81,0,a|85,24,p|85,26,p|85,239,p|85,428,p|85,16,p|85,12,p|85,12,p|85,13,p|85,34,p|85,6,p|85,29,p|85,30,p|87,18,a|91,83,p|91,44,p|91,44,p|98,20,a|98,0,p|98,16,p|98,22,a|98,0,p|98,0,p|98,0,a|98,127,p|98,58,p|98,87,p|98,14,p|98,138,p|98,0,a|103,28,a|103,105,p|103,11,a|103,105,p|103,50,p|103,63,p|103,38,a|103,96,p|103,176,p|110,95,p|110,211,p|110,73,p|110,55,p|110,131,p|110,200,p|110,20,p|110,59,p|110,33,p|110,70,p|110,78,p|110,126,p|110,57,p|110,66,p|110,94,p|110,29,p|110,96,p|111,91,p|113,177,p|113,73,p|113,147,p|113,251,p|113,338,p|113,434,p|113,486,p|113,556,p|113,20,p|113,59,p|113,33,p|113,70,p|113,87,p|113,61,p|113,66,p|113,94,p|113,29,p|113,96,p|114,10,a|114,0,a|114,32,a|114,22,a|114,0,a|115,61,a|115,18,p|123,67,p|125,10,a|127,12,a|127,22,a|127,16,p|127,54,p|127,122,p|127,149,p|128,10,a|128,0,a|128,32,a|128,22,a|128,0,a|138,16,p|143,87,p|143,44,a|143,16,p|143,44,p|143,6,a|143,186,p|143,0,a|143,23,p|143,91,p|143,0,a|143,15,a|143,42,a|143,15,p|143,82,p|148,22,p|151,440,p|151,76,p|151,3,p|151,30,p|151,4,p|151,98,p|151,4,p|151,333,p|151,417,p|151,35,p|163,44,a|163,32,a|163,0,a|163,15,a|163,67,a|170,61,a|177,39,p|183,11,p|183,542,p|183,0,p|184,64,p|185,75,p|187,72,p|187,255,p|187,278,p|191,233,p|204,221,p|204,73,p|204,134,p|204,234,p|204,332,p|204,401,p|204,20,p|204,59,p|204,33,p|204,70,p|204,87,p|204,61,p|204,66,p|204,94,p|204,29,p|204,96,p|213,90,p|213,90,p|213,47,p|217,71,p|217,190,p|217,229,p|217,260,p|217,449,p|217,89,p|217,112,p|217,139,p|217,502,p|219,520,p|226,97,p|226,22,p|226,147,p|226,0,a|226,70,a|226,33,p|226,43,p|226,171,p|226,46,a|226,77,p|226,89,p|227,392,p|227,504,p|227,48,p|227,166,p|227,34,p|227,51,p|227,74,p|233,0,a|233,55,p|235,11,a|235,9,a|242,70,a|242,67,a|242,7,a|250,85,p|250,551,p|253,709,p|255,7,a|255,67,p|255,123,p|255,39,p|255,173,p|255,70,a|255,8,p|255,116,p|255,112,p|255,151,p|255,0,a|255,46,p|258,0,a|258,0,a|258,32,a|258,57,a|258,10,a|258,59,a|265,100,p|265,43,p|265,90,p|265,68,p|266,10,a|266,0,a|266,32,a|266,22,a|266,0,a|267,212,p|267,73,p|267,108,p|267,345,p|267,414,p|267,20,p|267,59,p|267,33,p|267,70,p|267,71,p|267,92,p|267,18,p|267,55,p|267,66,p|267,94,p|267,29,p|267,96,p|269,36,p|269,8,p|269,15,p|269,6,p|269,12,p|269,27,p|269,28,p|269,28,p|273,453,p|273,474,p|273,12,p|273,0,p|273,0,p|273,0,p|273,0,p|273,0,p|273,93,p|273,12,p|273,0,p|273,0,p|273,0,p|273,0,p|273,0,p|273,0,p|276,11,a|276,46,a|276,56,a|276,138,p|276,23,p|276,59,p|276,29,p|276,106,p|276,174,p|276,21,p|276,7,a|276,113,p|276,146,p|279,98,p|279,98,p|281,61,a|281,185,p|281,56,a|281,24,p|292,70,a|292,17,a|292,12,a|292,22,a|292,16,a|292,67,a|297,15,p|306,13,p|306,351,p|306,421,p|306,22,p|306,44,a|306,32,a|306,0,a|306,15,a|306,67,a|310,7,a|310,70,a|310,0,a|311,525,p|311,8,p|313,154,p|313,274,p|317,18,a|318,49,p|319,40,p|322,39,p|322,38,p|324,0,a|324,11,a|324,17,a|327,121,p|327,440,p|327,539,p|327,622,p|327,705,p|327,794,p|327,840,p|327,63,p|327,170,p|327,232,p|327,343,p|327,118,p|327,57,a|329,0,a|347,51,p|348,10,a|348,67,a|350,42,title|350,9,b|350,19,a|350,9,b|350,9,b|350,40,p|350,7,a|350,9,b|350,147,p|350,3,a|350,55,a|350,19,a|352,13,p|352,351,p|352,421,p|352,22,p|352,44,a|352,32,a|352,0,a|352,67,a|352,15,a|354,15,a|354,151,p|354,22,a|354,112,p|356,45,title|356,12,b|356,22,a|356,22,a|357,188,p|357,7,p|357,38,p|357,19,p|357,38,p|357,38,p|360,7,a|360,70,a|360,0,a|364,140,p|367,70,p|367,95,p|367,248,p|367,323,p|367,4,p|367,169,p|367,59,a|367,57,a|367,22,a|377,61,p|377,15,p|380,39,p|386,19,a|388,71,p|388,129,p|388,44,a|388,82,p|388,129,p|388,47,p|388,32,a|388,186,p|388,60,p|388,0,a|388,83,p|388,67,a|388,15,a|392,21,p|395,60,p|395,69,p|397,37,p|397,53,p|397,57,p|397,35,p|397,51,p|397,57,p|404,141,p|404,215,p|404,43,p|420,0,a|420,23,p|420,56,p|420,44,p|420,161,p|420,147,p|420,57,a|420,91,p|420,10,a|420,59,a|420,159,p|420,83,p|420,151,p|420,130,p|420,0,a|420,32,a|421,42,p|421,49,p|421,144,p|421,257,p|421,309,p|421,551,p|421,606,p|421,80,p|421,29,p|421,79,p|421,95,p|421,46,p|430,94,p|430,93,p|431,11,a|431,126,p|431,9,a|435,48,p|435,63,p|435,49,p|436,67,a|436,10,a|439,529,p|439,8,p|439,73,p|439,3,p|439,30,p|439,2,p|439,7,p|444,45,a|444,17,a|444,18,a|452,46,a|452,18,a|452,0,a|454,101,p|454,203,p|454,241,p|454,272,p|454,461,p|454,89,p|454,111,p|454,139,p|454,403,p|462,233,p|462,231,p|462,4,p|462,45,p|463,12,p|463,283,p|463,351,p|463,388,p|463,36,p|463,106,p|463,142,p|463,166,p|463,235,p|463,248,p|463,369,p|463,60,p|463,100,p|468,56,p|468,70,a|468,9,p|468,7,a|468,67,a|468,163,p|470,95,p|470,196,p|470,61,a|470,0,a|470,0,a|470,0,a|470,56,a|470,51,a|470,11,a|470,10,a|470,59,a|470,57,a|470,7,a|470,46,a|470,36,a|475,101,p|477,10,a|477,0,p|477,76,p|477,339,p|477,189,p|477,0,a|477,0,a|477,32,a|477,93,p|477,174,p|477,22,a|478,70,a|478,17,a|478,12,a|478,22,a|478,16,a|478,67,a|481,0,p|481,353,p|481,423,p|481,16,p|481,56,p|481,87,p|481,44,a|481,32,a|481,0,a|481,67,a|481,15,a|484,61,p|484,7,a|484,70,a|484,0,a|487,588,p|487,602,p|487,70,p|487,66,p|487,157,p|487,6,p|487,57,p|487,209,p|487,37,p|487,243,p|487,124,p|487,164,p|487,218,p|487,33,p|487,13,p|487,121,p|487,119,p|487,96,p|493,105,p|504,14,a|506,7,a|506,67,p|506,123,p|506,39,p|506,173,p|506,70,a|506,8,p|506,116,p|506,112,p|506,151,p|506,0,a|506,46,p|512,10,a|512,24,p|512,40,p|518,215,p|521,12,a|521,22,a|524,19,p|524,88,p|531,123,p|531,123,p|531,182,p|531,46,a|531,68,p|531,63,p|531,10,a|531,59,a|531,46,p|531,153,p|535,89,p|535,68,p|538,369,p|538,42,p|538,155,p|543,44,a|543,12,a|543,0,a|543,15,a|543,67,a|544,99,p|549,103,p|549,142,p|549,44,a|549,18,a|549,194,p|549,82,p|549,0,a|549,46,p|549,82,p|549,0,p|549,99,p|549,77,p|549,199,p|550,84,p|551,42,a|551,12,p|551,94,p|551,213,p|551,18,a|551,127,p|551,216,p|551,59,a|551,37,a|551,16,p|551,93,p|551,10,a|551,59,a|551,10,p|551,94,p|551,189,p|551,46,a|551,77,p|551,95,p|551,7,a|551,107,p|551,57,a|551,91,p|551,101,p|551,16,a|553,61,p|553,7,a|553,70,a|553,0,a|558,70,a|558,12,a|558,83,p|558,209,p|558,17,a|558,108,p|558,27,p|558,61,p|558,27,p|558,146,p|558,67,a|558,22,a|558,16,a|562,70,a|562,17,a|562,12,a|562,22,a|562,16,a|562,67,a|567,4,p|567,76,p|567,124,p|567,143,p|567,166,p|567,194,p|567,238,p|580,70,a|584,44,p|584,101,p|584,114,p|584,219,p|584,44,p|584,210,p|584,191,p|584,177,p|584,117,p|584,101,p|585,161,p|585,0,p|588,80,p|589,172,p|591,176,p|592,5,p|592,59,p|592,87,p|592,160,p|592,76,p|592,120,p|592,76,p|592,120,p|593,70,a|597,264,p|611,88,p|611,101,p|611,206,p|611,210,p|611,191,p|611,177,p|611,117,p|611,101,p|613,10,a|621,53,p|621,46,p|621,78,p|624,140,p|624,0,p|625,42,a|628,104,p|630,46,a|630,10,a|630,59,a|635,122,p|635,11,a|635,46,p|635,57,a|635,91,p|635,101,p|635,94,p|635,105,p|639,0,a|639,11,a|639,17,a|639,34,p|639,135,p|639,124,p|643,17,a|649,57,a|649,117,p|649,101,p|654,94,p|654,92,p|661,332,p|662,45,a|662,17,a|662,18,a|664,95,p|666,258,p|666,572,p|666,38,p|666,44,p|666,403,p|666,553,p|666,61,a|666,56,a|672,76,title|672,43,b|672,20,p|672,173,p|672,269,p|672,376,p|672,508,p|672,559,p|679,0,a|679,0,a|679,0,a|679,44,a|679,46,a|679,6,a|679,37,a|679,54,a|679,10,a|679,59,a|679,42,a|685,372,p|686,42,a|686,18,a|686,6,a|686,0,a|686,15,a|686,0,a|686,32,a|691,70,p|691,47,p|691,85,p|691,38,p|695,46,p|699,6,p|699,186,p|699,13,p|699,11,p|700,82,p|706,61,a|706,0,a|706,23,p|706,56,p|706,112,p|706,183,p|706,179,p|706,0,a|706,43,p|706,107,p|706,0,a|706,69,p|706,170,p|706,65,p|706,150,p|706,56,a|706,154,p|706,0,p|706,9,p|706,193,p|706,51,a|706,51,p|706,175,p|706,120,p|706,11,a|706,42,p|706,46,a|706,77,p|706,74,p|706,36,a|706,24,p|706,194,p|706,10,p|706,40,p|706,39,p|706,10,a|706,59,a|706,46,p|706,57,a|706,91,p|706,101,p|706,7,a|706,163,p|706,45,p|711,31,p|711,47,p|711,38,p|712,103,p|714,209,p|714,375,p|714,464,p|714,695,p|714,852,p|714,99,p|714,182,p|714,11,p|714,41,p|714,120,p|714,138,p|714,180,p|714,54,p|714,471,p|714,94,p|714,143,p|714,151,p|715,204,p|720,154,p|720,172,p|720,79,p|720,97,p|724,29,p|724,27,p|724,2,p|726,89,p|729,9,p|729,9,p|729,96,p|729,184,p|729,55,p|729,41,p|729,129,p|731,45,a|731,113,p|731,49,p|731,17,a|731,18,a|731,86,p|734,16,a|737,61,a|739,71,p|739,46,a|739,22,a|739,124,p|742,44,a|742,18,a|742,0,a|744,49,p|744,55,p|744,55,p|745,110,p|745,7,p|745,110,p|746,41,p|746,268,p|754,0,a|759,135,p|764,70,a|765,179,p|768,0,b|769,70,a|769,20,p|773,88,p|773,551,p|775,42,a|775,18,a|775,59,a|775,37,a|775,46,a|775,7,a|775,57,a|775,16,a|775,10,a|775,59,a|779,17,a|780,419,p|781,61,a|786,142,p|786,7,a|786,138,p|786,118,p|786,70,a|786,72,p|786,111,p|786,165,p|786,0,a|786,49,p|786,43,p|786,83,p|786,27,p|786,198,p|786,18,a|787,20,a|787,0,a|787,70,a|787,15,a|787,0,a|787,22,a|787,0,a|787,18,a|787,67,a|799,42,a|799,45,p|799,106,p|799,54,p|799,126,p|800,20,a|800,52,p|800,59,p|800,207,p|800,18,a|800,22,a|800,20,p|800,0,a|800,205,p|805,15,a|805,22,a|809,24,p|809,300,p|809,519,p|809,646,p|809,874,p|809,1021,p|809,1156,p|810,0,a|810,82,p|810,0,a|810,23,p|810,56,p|810,30,p|810,22,p|810,61,p|810,119,p|810,0,a|810,44,a|810,36,p|810,46,a|810,82,p|810,6,a|810,144,p|810,37,a|810,72,p|810,54,a|810,10,a|810,59,a|810,73,p|810,42,a|810,150,p|819,71,p|819,129,p|819,44,a|819,82,p|819,129,p|819,47,p|819,32,a|819,186,p|819,60,p|819,0,a|819,83,p|819,67,a|819,15,a|821,30,p|821,46,a|821,22,a|822,70,a|822,20,p|824,0,a|826,59,p|826,123,p|826,4,p|826,69,p|826,135,p|826,49,p|826,114,p|828,193,p|828,232,p|828,75,p|828,75,p|830,65,p|835,188,p|835,81,p|835,132,p|835,155,p|835,10,p|836,108,p|838,196,p|846,218,p|846,388,p|846,477,p|846,750,p|846,993,p|846,1469,p|846,1652,p|846,1749,p|846,1939,p|846,24,p|846,66,p|846,98,p|846,233,p|846,267,p|846,295,p|846,71,p|846,549,p|846,1031,p|846,228,p|846,277,p|846,326,p|846,121,p|846,14,p|849,97,p|849,141,p|856,114,p|856,116,p|856,191,p|856,123,p|856,118,p|856,193,p|864,118,p|864,12,p|864,134,p|864,134,p|873,18,p|873,83,p|873,44,a|873,12,a|873,0,a|873,37,p|873,53,p|873,97,p|873,18,p|873,85,p|873,67,a|873,15,a|880,101,p|880,101,p|881,46,p|882,61,p|882,615,p|882,873,p|882,1256,p|882,399,p|882,580,p|882,6,p|882,287,p|882,473,p|882,606,p|882,683,p|882,6,p|882,173,p|882,308,p|882,407,p|882,4,p|882,149,p|882,0,p|882,19,p|887,11,a|892,70,a|892,9,a|895,30,p|895,51,p|895,0,p|897,40,p|897,157,p|897,82,p|897,10,p|905,11,p|906,20,a|906,18,a|906,22,a|906,0,a|910,10,a|911,19,p|911,46,p|911,70,a|912,176,p|912,270,p|919,58,p|919,62,p|919,91,p|919,68,p|919,89,p|919,333,p|919,358,p|919,392,p|929,128,p|929,20,a|929,22,a|929,0,a|929,0,a|930,352,p|930,445,p|930,141,p|930,61,p|930,4,p|930,167,p|930,195,p|930,364,p|930,490,p|930,612,p|930,821,p|930,38,p|930,87,p|930,537,p|930,173,p|930,296,p|930,334,p|930,396,p|930,77,p|930,332,p|930,413,p|930,455,p|930,0,p|930,41,p|930,158,p|930,186,p|930,216,p|930,230,p|930,346,p|930,32,p|930,17,m|930,50,j|930,43,k|930,44,k|932,214,p|932,16,a|932,63,p|935,61,a|939,70,a|951,10,a|951,12,a|972,106,p|972,106,p|973,126,p|975,135,p|976,67,p|976,28,p|976,28,p|976,38,p|978,61,a|981,0,a|981,89,p|981,155,p|981,221,p|981,70,a|981,12,a|981,273,p|981,288,p|981,109,p|981,98,p|981,28,a|981,67,a|981,20,p|981,40,p|981,21,p|987,70,a|987,9,a|994,385,p|998,60,p|1004,29,p|1004,137,p|1004,11,p|1004,16,p|1016,7,a|1016,70,a|1016,0,a|1031,70,a|1031,17,a|1031,12,a|1031,16,a|1031,67,a|1031,22,a|1032,70,p|1032,95,p|1032,248,p|1032,323,p|1032,4,p|1032,169,p|1032,59,a|1032,57,a|1032,22,a|1033,70,a|1033,7,a|1033,67,a|1045,69,p|1045,148,p|1045,169,p|1045,187,p|1046,44,a|1046,32,a|1046,0,a|1046,67,a|1046,15,a|1052,70,a|1052,17,a|1052,12,a|1052,83,p|1052,209,p|1052,108,p|1052,27,p|1052,61,p|1052,27,p|1052,146,p|1052,67,a|1052,22,a|1052,16,a|1058,40,p|1058,16,p|1058,226,p|1058,264,p|1059,7,a|1059,70,a|1059,0,a|1059,18,a|1068,46,a|1068,20,p|1068,121,p|1068,18,a|1068,0,a|1068,0,p|1076,114,p|1076,116,p|1076,191,p|1076,123,p|1076,118,p|1076,193,p|1080,61,a|1080,44,a|1080,32,a|1080,18,a|1080,0,a|1080,15,a|1080,67,a|1081,0,p|1081,353,p|1081,423,p|1081,16,p|1081,56,p|1081,87,p|1081,44,a|1081,32,a|1081,0,a|1081,15,a|1081,67,a|1083,25,p|1083,7,p|1086,258,p|1086,572,p|1086,38,p|1086,44,p|1086,403,p|1086,553,p|1086,61,a|1086,56,a|1088,7,a|1088,70,a|1088,0,a|1090,28,a|1090,11,a|1090,38,a|1091,68,p|1091,210,p|1091,252,p|1091,316,p|1091,344,p|1091,470,p|1091,539,p|1091,20,p|1091,59,p|1091,33,p|1091,60,p|1091,88,p|1091,62,p|1091,66,p|1091,94,p|1091,29,p|1091,96,p|1096,36,p|1096,5,p|1096,6,p|1096,63,p|1096,5,p|1096,5,p|1096,8,p|1096,6,p|1096,116,p|1096,10,p|1096,10,p|1096,10,p|1096,10,p|1096,10,p|1096,6,p|1096,6,p|1096,6,p|1096,5,p|1096,6,p|1096,85,p|1096,6,p|1096,9,p|1096,9,p|1096,47,p|1099,198,p|1109,253,p|1109,331,p|1109,431,p|1110,42,a|1110,12,p|1110,104,p|1110,223,p|1110,92,p|1110,103,p|1110,18,a|1110,59,p|1110,104,p|1110,6,a|1110,139,p|1110,0,a|1110,170,p|1110,177,p|1110,9,p|1110,202,p|1110,183,p|1110,0,a|1110,32,a|1110,3,p|1110,88,p|1110,15,a|1112,61,a|1112,81,p|1112,139,p|1112,104,p|1112,132,p|1112,16,p|1112,37,p|1112,108,p|1112,44,a|1112,82,p|1112,129,p|1112,57,p|1112,32,a|1112,18,a|1112,196,p|1112,60,p|1112,0,a|1112,78,p|1112,88,p|1112,15,a|1112,67,a|1112,30,p|1122,139,p|1123,20,a|1123,18,a|1123,22,a|1123,0,a|1125,70,a|1139,35,p|1139,7,p|1139,55,p|1139,54,p|1139,18,var|1139,34,var|1139,57,var|1139,7,var|1139,34,var|1139,11,var|1139,50,var|1139,35,var|1139,36,var|1139,21,var|1139,7,var|1143,0,a|1143,70,a|1143,46,a|1144,81,p|1144,60,p|1144,30,p|1144,64,p|1144,34,p|1144,46,p|1144,37,p|1144,25,p|1147,13,p|1147,183,p|1147,205,p|1147,226,p|1154,20,p|1156,7,a|1156,67,p|1156,123,p|1156,39,p|1156,173,p|1156,70,a|1156,8,p|1156,116,p|1156,112,p|1156,151,p|1156,0,a|1156,46,p|1168,72,p|1168,72,p|1170,46,a|1183,46,a|1185,136,p|1185,168,p|1185,70,a|1185,67,a|1190,253,p|1190,331,p|1191,61,a|1191,185,p|1191,56,a|1191,24,p|1194,75,p|1194,140,p|1194,140,p|1197,44,a|1197,6,a|1197,0,a|1197,0,a|1197,15,a|1197,42,a|1198,70,a|1198,67,a|1200,395,p|1215,14,a|1215,167,p|1219,58,p|1219,14,p|1219,62,p|1228,70,a|1228,0,a|1228,12,a|1228,28,a|1228,67,a|1234,20,a|1234,0,a|1234,113,p|1234,70,a|1234,125,p|1234,71,p|1234,185,p|1234,15,a|1234,110,p|1234,0,a|1234,46,p|1234,19,p|1234,22,a|1234,0,a|1234,0,p|1234,18,a|1234,67,a|1236,67,p|1236,143,p|1236,104,p|1238,257,p|1238,622,p|1238,38,p|1238,44,p|1238,403,p|1238,553,p|1238,61,a|1238,56,a|1240,61,a|1244,11,a|1244,57,a|1247,10,a|1247,0,p|1247,76,p|1247,339,p|1247,0,a|1247,32,a|1247,93,p|1247,174,p|1247,22,a|1247,189,p|1247,0,a|1256,716,p|1256,802,p|1256,1444,p|1261,359,p|1263,137,p|1266,55,p|1266,4,p|1268,11,p|1268,36,p|1268,60,p|1269,0,a|1269,16,p|1269,143,p|1269,142,p|1270,42,title|1270,9,b|1270,27,p|1270,25,p|1270,273,p|1270,30,p|1270,210,p|1270,30,p|1270,7,a|1270,3,a|1270,55,a|1274,70,a|1275,70,a|1275,9,a|1278,108,p|1278,59,a|1278,60,p|1278,78,p|1278,22,p|1278,57,a|1278,91,p|1278,101,p|1278,124,p|1278,22,a|1278,52,p|1278,168,p|1281,199,p|1283,10,a|1283,22,a|1283,0,a|1283,0,a|1283,32,a
featuretyp 265,6,p
feb 123,17,p|159,44,p|486,163,p|563,271,p|563,271,p|1160,63,p
februari 32,193,p|71,231,p|163,24,p|269,3,p|286,287,p|550,206,p|564,23,p|578,218,p|578,218,p|714,62,p|809,1571,p|809,1586,p|809,1704,p|835,12,p|846,48,p|984,315,p|984,231,p|984,231,p|1037,378,p|1046,24,p|1062,315,p|1062,231,p|1062,231,p|1126,39,p|1294,60,li
feburari 286,78,p
fece 1143,26,p|1143,19,p|1143,24,p
fed 458,91,p|654,4,u|654,4,u|799,42,p
fedcsi 1231,229,p
feder 33,7,p|118,26,p|183,13,p|183,818,p|305,0,p|321,30,p|347,46,p|388,7,p|417,148,p|480,124,p|499,52,p|584,137,p|605,0,p|611,137,p|623,26,p|819,7,p|830,0,at|898,54,p|1060,30,p|1072,52,p|1112,7,p|1135,66,p|1135,181,p|1171,40,p|1171,37,p|1176,2,p|1231,163,p
federalist 549,110,p|810,131,p
federico 132,0,p|543,0,p|549,0,i|551,0,i|679,0,p|679,0,p|734,0,p|742,0,p|775,0,p|783,0,i|810,0,i|810,0,i|873,0,i|932,0,i
fedtax 305,31,p|605,31,p
fedu 589,2,p
fee 276,50,p|480,9,p|543,16,p|715,166,p|715,176,p|892,52,p|932,50,p|1256,296,p
feed 94,195,p|384,56,p|1096,40,p|1159,23,p
feedback 9,0,h1|9,13,p|73,27,p|73,27,p|73,27,p|73,27,p|73,27,p|73,27,p|73,27,p|73,27,p|73,28,p|73,28,p|269,17,p|269,17,p|346,62,p|346,9,p|346,9,p|346,138,p|346,138,p|384,59,p|384,67,p|384,22,p|384,58,p|384,58,p|384,32,p|477,119,p|621,62,p|621,62,p|1139,8,p|1223,102,p|1223,102,p|1247,119,p
feedforward 103,0,a|111,16,a|292,0,a|478,0,a|499,16,a|558,0,a|562,0,a|686,16,a|745,16,a|835,16,a|1031,0,a|1052,0,a|1090,0,a|1110,16,a
feel 6,9,p|238,0,p|427,96,p|583,47,p|661,21,p|758,42,p|768,28,span|880,6,p|880,6,p
feet 895,52,p|1144,78,sensortype
fehlertoleranz 470,34,p|706,34,i|1080,34,p|1112,34,i
fehrman 51,10,p|51,7,u|51,88,p|51,3,p|51,3,p
fei 77,0,p|143,0,i|1080,0,p|1112,0,i|1197,0,p
feinberg 203,32,p|402,32,i|417,32,i|499,32,p|835,32,i|1072,32,p|1202,32,p
fekci 585,8,p|585,8,p|585,21,p|585,8,p|585,21,p
feldheim 446,167,p|446,167,p|793,29,p|793,29,p
feldmann 850,3,p
feldmess 1177,26,p|1177,12,p
felip 400,2,p
felipebarbosa 400,10,p
felix 83,0,p|83,0,u|83,0,p|83,0,p|271,0,p|271,0,u|271,0,p|271,0,p
fellegi 566,13,p
fellow 958,277,p
femal 51,14,p|123,24,p|262,54,p|273,92,p|273,140,p|317,19,p|321,33,p|348,13,p|348,13,p|436,13,p|436,13,p|457,39,p|474,284,p|499,5,p|502,13,p|539,96,p|589,37,p|647,60,p|734,19,p|742,32,p|762,65,p|795,26,p|799,155,p|824,32,p|838,43,p|895,22,p|902,156,p|902,52,p|934,22,p|1060,33,p|1072,5,p|1110,52,p|1110,164,p|1110,132,p|1137,18,p|1236,37,p
femalepctdiv 321,11,p|321,5,p|321,0,p|1060,5,p
femaleteammembersperc 1139,3,p|1139,3,var
feminin 644,14,li
femori 979,78,p|979,111,p|979,357,p|979,376,p
feng 255,2,p|506,2,p|929,0,p|981,33,i|1156,2,p|1228,33,p
fenv 1149,24,p|1149,8,p
fer 382,69,p|624,8,p|1277,118,p|1277,27,p
feret 664,194,p|664,342,p
fermata 1104,4,p|1104,65,p
fern 98,10,i|121,10,p|350,10,i|470,9,p|551,10,i|706,9,i|734,10,p|739,10,i|775,10,p|800,10,i|821,10,p|856,10,i|906,10,p|929,10,p|932,10,i|1057,10,p|1076,10,i|1123,10,p|1270,10,p|1279,10,p
fernand 318,7,p|318,3,p|318,3,p|588,37,p|606,7,p|606,8,p|606,0,p|606,49,p|606,0,p|606,49,p|726,7,p|726,8,p|726,7,p|726,48,p|726,7,p|726,48,p
fernandez 86,17,p|86,17,p|588,191,p|588,251,p|588,1,p|588,32,p|588,7,p|588,146,p|930,5,p|930,29,p|1099,4,p
fernando 400,2,p|400,3,p|470,0,p|706,0,i|979,11,p
fernn 549,0,a|742,0,a
ferreira 146,50,p|146,94,p|146,8,u|146,0,p|146,33,p|146,0,p|146,33,p|183,29,p|252,50,p|252,94,p|252,117,p|252,8,u|252,0,p|252,33,p|252,47,p|252,0,p|252,33,p|252,47,p|491,85,p|544,50,p|544,29,p|544,29,p|544,0,p|544,0,p|544,0,p|550,10,p|550,28,p|550,30,p|550,30,p|575,73,p|575,16,p|575,16,p
ferri 441,165,p|1107,54,p|1107,47,p|1107,54,p|1107,47,p
ferritin 404,0,p
ferro 170,7,p
ferscha 462,136,p|462,136,p
fertil 203,8,p|330,33,title|330,0,b|1202,8,p
fetal 430,42,p|430,5,p|430,321,p|430,10,p|430,6,p|430,105,p
fetch 148,980,p|244,284,p|588,53,p|706,112,p|706,184,p|846,1060,p
fetoprotein 404,6,p
feup 606,61,p|606,31,p|661,23,p|726,61,p|726,31,p
fever 330,5,p|967,27,p|967,80,p|1196,0,p|1196,6,p
fevzi 111,13,p|745,57,p
few 47,142,p|60,778,p|64,119,p|64,103,p|95,940,p|138,74,p|143,74,p|143,210,p|182,219,p|182,105,p|203,314,p|203,369,p|233,189,p|276,126,p|292,178,p|292,33,p|302,2,p|306,182,p|313,95,p|352,182,p|462,11,p|468,37,p|478,61,p|478,33,p|481,169,p|502,205,p|505,184,p|512,180,p|558,190,p|558,112,p|558,50,p|562,61,p|562,33,p|635,50,p|661,14,p|661,51,p|706,119,p|706,80,p|706,2,p|706,127,p|715,119,p|731,109,p|738,108,p|738,74,p|738,422,p|786,28,p|799,177,p|816,178,p|835,117,p|859,298,p|873,8,p|873,44,p|877,48,p|932,122,p|932,121,p|987,184,p|994,51,p|1031,178,p|1031,33,p|1052,190,p|1052,112,p|1052,50,p|1081,169,p|1112,67,p|1112,91,p|1112,40,p|1112,87,p|1112,111,p|1202,314,p|1202,369,p|1261,236,p|1275,184,p|1288,74,p|1301,26,p
fewer 203,464,p|231,277,p|420,155,p|512,194,p|551,62,p|715,104,p|731,54,p|737,115,p|800,82,p|903,180,p|939,136,p|952,54,p|981,164,p|1060,263,p|1110,63,p|1110,163,p|1126,25,p|1126,14,p|1185,136,p|1202,464,p|1234,85,p|1250,277,p
fewest 786,9,p|786,9,p|1148,9,p|1148,9,p
ff 226,85,p|226,99,p|226,114,p|255,2,p|255,95,p|255,283,p|255,89,p|255,140,p|255,135,p|255,138,p|304,227,p|397,122,p|420,47,p|505,45,p|505,27,p|506,2,p|506,95,p|506,283,p|506,89,p|506,140,p|506,135,p|506,138,p|706,36,p|720,128,p|720,131,p|731,120,p|731,114,p|769,212,p|822,212,p|987,65,p|987,50,p|1156,2,p|1156,95,p|1156,283,p|1156,89,p|1156,140,p|1156,135,p|1156,138,p|1275,65,p|1275,50,p
ffi 51,136,p|51,24,p|51,24,p|51,24,p|51,25,p|51,25,p|1110,190,p
