d01 1030,1768
diseas 25,47|25,326|25,4278|25,5129|32,49|32,111|32,157|32,179|32,199|32,220|32,243|34,923|34,10811|34,11923|34,12244|34,12305|34,17657|34,18286|34,18347|34,19877|34,20565|60,51|60,109|88,2568|99,654|99,1144|99,9498|109,369|109,449|109,1847|117,655|144,22531|189,1310|212,414|212,1868|212,3017|227,3958|245,468|245,3426|245,3696|245,4021|245,4319|245,5012|245,5706|273,304|274,489|274,2960|293,372|293,881|293,3225|307,2885|328,405|328,1379|328,1518|328,1731|328,1847|328,1888|328,2348|328,4112|331,1273|353,2885|389,917|389,10264|389,11288|389,11349|389,12446|389,16030|389,16659|389,16720|389,18250|389,18938|421,7169|421,15104|421,19657|428,1931|454,354|458,384|458,1089|458,1267|458,2444|458,2774|458,3833|458,4289|475,2687|479,372|479,3909|519,354|519,1039|519,1929|530,1943|532,7103|532,7250|532,8003|539,2597|550,43|550,279|550,482|550,649|550,1114|550,1603|550,1645|550,2642|550,4545|550,5988|550,6194|550,7066|550,7523|550,8616|550,9053|550,9528|550,9587|550,10048|550,10086|550,11754|550,12248|550,13176|550,13776|550,14257|550,14790|550,15243|550,17694|550,20897|550,21174|550,21323|550,23810|550,23844|550,24037|550,24409|550,24943|550,27896|550,28540|550,29022|550,29396|550,29540|550,30071|550,30132|550,30311|552,18444|559,7672|559,14704|563,372|563,3909|576,1826|576,1930|576,1960|576,2102|576,2153|576,2190|576,2228|576,2273|576,2312|576,2352|576,2391|576,2443|576,2510|580,306|582,49|582,105|582,207|585,3114|585,3548|585,3797|585,4077|585,4363|585,4621|585,4873|585,5156|585,5464|585,5601|585,5815|585,6330|585,6759|585,7005|612,2154|612,2588|612,2837|612,3117|612,3403|612,3661|612,3913|612,4196|612,4504|612,4641|612,4855|612,5370|612,5787|612,6033|612,6261|636,45|636,283|636,487|636,825|636,3602|636,4620|636,13598|644,775|644,911|673,585|673,3535|673,3742|673,4002|687,9131|707,3126|727,1855|731,3653|731,4772|743,43|743,270|743,1357|743,3430|743,6210|743,6232|743,7031|743,7163|743,14461|758,51|758,115|769,2278|787,4888|801,862|811,10379|817,412|817,1081|817,1158|817,1934|817,2277|817,2531|820,923|820,10270|820,11294|820,11355|820,12452|820,16601|820,17230|820,17291|820,18821|820,19509|836,13704|836,23300|836,24048|840,289|857,2595|857,7387|893,886|893,1821|893,3393|893,3880|905,1572|913,47|913,279|913,375|913,1376|913,1461|913,1609|913,1739|913,2111|913,2308|913,2669|913,2857|913,3075|930,446|930,2436|930,2470|930,2550|933,6754|933,8368|933,10597|933,13939|933,14000|952,1049|952,1152|952,1794|968,489|968,1206|968,1419|968,2581|968,3829|968,4125|1032,372|1032,881|1032,3225|1046,49|1046,297|1046,2613|1046,3067|1053,8032|1053,14704|1059,2682|1059,3023|1059,3280|1077,2625|1077,7417|1081,12198|1111,6711|1111,6917|1111,9733|1111,15112|1111,15259|1111,15807|1111,15954|1111,16231|1111,16380|1113,1758|1113,2153|1113,5468|1113,20817|1113,21546|1113,23711|1113,24474|1113,24535|1113,27639|1113,35068|1113,35129|1113,37429|1113,41036|1113,41313|1113,41462|1113,44517|1116,1568|1116,1731|1116,2582|1167,873|1197,2406|1235,910|1245,45|1245,274|1273,369|1273,449|1273,1847|1279,868|1279,9154
diseaseâ 1059,1599|1059,2433|1059,3698
disfonilerinden 274,6613
disgust 525,1488
dish 463,4442
dishonest 588,37|588,283|588,2628|588,2742
dishonestli 588,2897
dishwash 463,4659|463,8046|1036,2398
disi 58,3795|79,4583|115,2139|129,1894|267,2234|282,2240|478,3118|552,17033|552,22123|667,5132|740,2194|776,8462|776,10795|788,3795|801,4293|822,3145|907,6430|1087,5033|1124,6430|1192,3162|1235,2892|1239,4583|1248,2630|1284,1989
disjoint 270,1977|270,2098|513,2776|552,17537|645,2385|1184,1657
disjunct 104,971|500,6095|544,3475|735,4283|800,1726|836,12418|836,12570|836,12811|874,3982|874,4327|933,4491|1017,1953|1089,1953|1091,3215
disk 320,1821|348,467|348,1562|348,1662|348,2322|559,23186|707,35463|933,9871|1053,23664|1127,1857
disloc 1060,2102
disord 28,55|28,325|28,1106|28,1477|34,19833|34,20595|48,6698|48,6815|52,755|88,1272|144,4351|312,4490|348,2595|389,18206|389,18968|421,20759|440,7322|458,4041|489,49|489,113|516,49|516,107|519,900|519,2995|532,43|532,281|532,485|532,2396|532,3340|532,3872|532,4184|532,4726|532,6586|532,6757|532,7592|532,7617|532,7793|532,8605|532,9663|532,10042|532,11572|532,11755|576,2019|576,2138|631,43|631,272|631,921|631,1212|631,1466|631,2469|731,3932|811,12726|811,17363|811,28092|820,18777|820,19539|857,2579|857,7371|864,55|864,328|864,451|864,1088|864,1459|887,377|887,1055|887,1426|893,3836|893,4477|1077,2609|1077,7401|1111,24503|1113,27669|1113,37385|1264,4001|1279,10733
dispar 78,5947|144,12278|506,2024|636,12792|801,8543|907,7145|1124,7145|1167,1593|1198,5947
dispatch 551,1500
dispers 707,7710|723,1129
displac 11,3120|79,3253|79,3326|79,3399|441,1702|441,1911|441,1969|467,479|467,1214|467,1303|467,1448|467,1483|467,1525|467,1998|467,4961|467,7023|467,7594|467,8361|467,9157|467,9197|467,9518|467,9719|667,3205|667,3278|667,3351|883,5703|929,1481|979,1491|1060,1509|1087,3205|1087,3278|1087,3351|1144,8943|1239,3253|1239,3326|1239,3399
display 25,2054|112,1251|112,1296|112,1821|128,41|128,282|128,489|128,4085|128,5276|277,4798|522,41|522,273|522,1088|532,9636|550,1666|608,47|608,109|731,3869|822,955
dispos 349,3578|437,3578
disposit 544,1438
disproport 807,1810
disqu 1297,3517|1297,3656
disrupt 1145,7124|1145,8915|1145,10848
dissemin 228,1234|1296,2085|1307,2085
disser 1229,3491
dissert 41,3883|48,610|56,8095|78,8431|79,3919|88,4233|99,12713|104,4397|109,2205|116,616|117,1392|144,21334|171,2183|227,6115|233,1208|243,2493|247,3298|282,621|289,1742|293,11247|318,3651|325,4354|368,9957|471,3518|471,12724|479,2169|479,2608|479,11775|485,4244|544,2223|550,22954|552,22613|554,4244|559,16153|563,2169|563,2608|563,11931|594,7958|640,7043|655,5429|667,4369|680,9427|687,10816|701,3778|707,3826|707,39556|735,6851|737,1723|738,933|743,15165|770,6565|776,8564|782,989|811,23604|823,5979|912,3746|930,7636|933,11290|936,3059|979,2315|1032,9758|1033,9139|1034,2493|1053,16631|1070,797|1081,3184|1081,16938|1087,4369|1091,4396|1111,20942|1113,2413|1113,34119|1144,11017|1192,621|1198,8824|1239,3919|1241,1156|1273,2205|1279,10014
dissimilar 1235,14507
dist 85,5338|85,5703|85,6066|208,515|208,1139|655,3879|655,3980|655,4082|655,4437|1155,1115
dist_to_center_cervix 607,5854
dist_to_center_o 607,5934
distal 41,2617|56,6829|171,2363|594,6829|738,1427|738,1603|738,1685|770,3510|770,3686|770,3768|823,3522|823,3698|823,3780|912,2617
distanc 33,2679|33,2769|33,3145|33,3232|34,18472|36,2463|41,2642|48,7065|55,2960|56,6854|58,7131|61,3708|61,4051|75,2220|78,2976|79,2543|79,2603|79,2659|79,3113|85,5345|85,5710|85,6073|85,6205|85,6285|99,9669|104,3452|104,8102|112,3083|144,2727|164,7921|171,2388|199,2680|199,2736|199,2982|199,3252|199,3686|199,3754|199,4008|199,4206|208,1513|232,5168|247,364|247,1095|247,1137|247,1207|247,1242|247,1400|247,1474|259,9866|277,2087|293,8941|298,4655|307,3007|307,10572|311,1602|311,1660|311,1717|311,1779|311,1837|311,1894|349,5767|353,3007|353,9932|361,1602|361,1660|361,1717|361,1779|361,1837|361,1894|368,2080|368,4731|368,4761|389,16845|421,15468|436,1797|437,5767|445,4827|469,1302|471,11555|471,15229|471,17297|478,1974|478,14960|479,9469|482,2433|482,9688|504,1401|520,2111|530,1124|550,18308|552,14516|552,19285|559,18198|563,9625|568,4554|576,3422|594,6854|598,1656|598,1773|607,5877|607,5953|636,5851|640,2229|640,8654|645,3306|663,4827|667,2495|667,2555|667,2611|667,3065|667,3684|680,9717|687,3366|696,2083|707,28857|707,29361|707,29902|707,36258|707,40868|707,46370|707,52304|732,3494|735,8136|738,1452|740,7799|743,13558|744,1721|770,3535|782,3139|788,7131|801,6174|811,8064|811,22949|811,24139|811,24319|820,17416|823,3547|835,2111|836,5652|882,2626|912,2642|930,6268|933,14809|979,2687|982,7920|982,19207|1032,10806|1033,2080|1033,4731|1033,4761|1047,9099|1053,19199|1081,16301|1082,2433|1082,8802|1087,2495|1087,2555|1087,2611|1087,3065|1087,3684|1091,3947|1111,2392|1113,31945|1155,1121|1160,1185|1160,1219|1177,1496|1177,1575|1177,1615|1177,1632|1177,1650|1177,1670|1177,1896|1177,2016|1195,1664|1198,2976|1201,1271|1235,14065|1235,14246|1239,2543|1239,2603|1239,2659|1239,3113|1241,2227|1248,3446|1248,12916|1251,5272|1258,1805
distance_from_residence_to_work 576,4501
distancemichail 707,12370
distancesadil 857,2284|1077,2314
distanciaâ 30,1455
distant 307,1408|353,1408|1229,2054
distend 1144,4591|1144,6317|1144,6362
distens 1144,4815|1144,5031|1144,5139
distibut 247,2087
distinct 14,1877|14,1993|63,1483|149,4420|149,7952|161,1541|192,1138|311,1474|340,1454|361,1474|391,1876|418,1934|501,1929|534,1931|550,13843|590,1118|615,1502|715,2881|715,3516|800,12474|847,2570|847,3607|896,1603|982,20290|1145,13444|1158,1040|1166,1483|1195,2260|1241,2040|1298,1000|1299,1000
distinguish 144,10144|144,10533|144,25780|198,3314|205,347|214,1631|218,361|219,918|219,1503|219,3577|323,1521|326,448|359,2080|368,1504|368,3085|368,3136|381,1300|422,2607|455,359|478,5673|478,6210|478,6720|478,16050|482,4026|503,1064|707,19731|740,6003|743,1512|787,2835|811,10342|811,12573|811,15140|825,335|825,1526|836,8722|893,2804|904,1616|930,1497|931,3080|982,9126|1033,1504|1033,3085|1033,3136|1082,4026|1111,11923|1113,15188|1248,5066|1248,5576|1248,7252|1248,14006|1295,661
distinguishingrobert 874,3521
distort 48,7100|112,2368|259,9901|293,3307|293,8976|421,15503|471,15264|479,3991|479,9504|559,18233|563,3991|563,9660|615,1328|615,1684|707,46405|782,3174|822,1128|1032,3307|1032,10841|1053,19234|1171,1355
distractor 111,2394|114,1680|205,1716|268,2271|501,1645|1092,1405
distress 304,445|304,2957|304,3144|807,4385
distrib 471,7679|707,16291|1301,5615
distribut 4,39|4,124|4,528|5,39|5,124|5,344|5,552|5,884|5,1316|5,1760|5,1892|6,39|6,124|6,952|6,1190|6,1416|6,1633|7,39|7,124|7,575|7,993|8,39|8,124|8,738|9,39|9,124|9,952|9,1190|9,1416|9,1633|10,39|10,124|21,2119|21,2330|21,2353|21,2858|21,2952|34,17442|35,2698|35,3200|41,1722|45,174|47,2089|48,5389|52,14494|52,14607|52,14718|52,14833|52,15767|52,15878|52,15986|52,16092|52,17023|52,17132|52,17239|52,17350|52,18290|52,18394|52,18501|52,18620|52,19560|52,19683|52,19805|56,5934|58,5426|61,2473|63,2610|84,1953|139,2261|144,18205|144,26680|184,4949|188,1470|201,1493|203,747|203,975|203,999|203,2544|204,5650|232,3404|256,1102|256,3926|256,10658|272,2176|298,770|311,3987|311,4567|315,2668|320,1366|322,2549|322,26104|323,3746|351,1355|359,1738|359,1876|359,1973|359,2037|359,2324|359,2469|361,3711|361,4736|389,15815|418,4967|421,16862|421,17442|426,1856|445,6466|453,1124|459,1682|471,7587|478,1491|478,15504|481,3360|481,3495|485,3125|485,5766|485,6651|504,1458|507,1087|507,3911|507,10643|511,2449|536,406|539,1219|539,1970|549,2319|550,1231|550,6915|550,21710|550,28802|552,6757|552,15366|552,17525|552,20450|552,21385|554,3125|554,5766|554,6346|559,23166|594,5747|602,2449|636,4880|636,6530|645,2593|663,6466|696,1337|707,12212|707,16199|707,16581|707,19667|707,19927|707,20759|707,20787|707,21026|707,25106|707,30534|707,35443|707,37849|707,40515|707,44417|715,6076|716,5628|723,3710|732,7524|732,8651|732,8790|735,4111|740,5024|743,9474|743,13040|746,8012|770,953|776,4282|782,2302|787,537|787,1076|788,5426|794,3340|806,2049|806,2108|806,3460|806,3844|806,6596|806,6780|807,2856|807,4610|811,14323|811,15887|812,464|812,1030|812,1220|820,16386|823,965|836,8817|836,16421|836,19423|836,20646|847,2875|847,7272|851,15071|878,5606|878,5620|883,2934|883,2956|883,2987|883,4592|883,4624|883,4723|883,4855|883,4882|883,4978|883,5098|883,5271|883,5357|883,5413|883,5534|883,6126|883,6182|883,6495|883,6545|883,6587|889,5393|903,2135|912,1535|923,2594|931,3916|931,4437|931,7786|933,3935|933,4324|933,9851|933,10382|976,1543|982,11496|982,11581|1017,2741|1017,3626|1053,23644|1057,1402|1060,2974|1060,3167|1061,29343|1081,5851|1089,2741|1089,3770|1096,2186|1100,3834|1100,3976|1113,2270|1113,11614|1113,14974|1113,16545|1113,31790|1113,44302|1116,2751|1116,2936|1116,3795|1132,1969|1140,2238|1140,4324|1157,1108|1157,3932|1157,11785|1166,2610|1179,1514|1179,1590|1179,2139|1179,2195|1195,1502|1203,5650|1235,8385|1235,8524|1235,14218|1245,3710|1245,4123|1248,1491|1248,13460|1251,3411|1279,5986|1283,1856|1300,306|1300,691|1300,1567|1300,1793|1300,2082|1302,892|1302,925|1302,1487|1303,670|1303,703|1305,1748|1305,1834
distributedrobert 811,13246
distributor 492,399
disturb 655,2179
dit 687,3340|1111,2366
diten 1084,1031|1084,1137|1269,1120
diterpen 229,740|282,4357|282,6973|1192,4357|1192,6973
diuret 743,4175|743,4185
divdend 306,2526|606,2526
divers 34,589|34,10777|41,3580|56,7792|78,3926|99,525|109,1926|117,526|144,5383|164,3326|282,3008|293,4868|307,4634|353,4634|389,583|389,10230|479,5404|482,4207|492,472|550,520|559,3065|563,5552|594,7655|665,498|680,3715|687,2867|687,3958|701,3721|707,22300|739,1286|743,7696|762,1283|762,1457|762,2178|762,2550|762,3290|770,9906|787,4201|811,5259|811,11831|820,589|820,10236|823,9320|907,2301|907,2674|912,3443|930,3524|931,3851|933,6720|1032,4364|1047,3326|1053,3065|1069,1482|1081,3458|1082,4207|1111,1549|1111,5503|1111,14657|1113,1424|1113,21512|1124,2301|1124,2674|1184,1962|1192,2578|1198,3926|1202,888|1224,2142|1224,2393|1235,9221|1264,1844|1273,1926
diversif 1296,1917|1307,1917
divid 30,2791|33,1878|33,2290|34,12003|36,2348|99,1209|104,3077|104,4090|133,2637|139,9050|139,10711|144,16826|198,4602|219,2925|239,3699|320,1034|323,1661|389,12526|404,1455|404,1741|440,3461|453,1003|475,1644|476,1562|513,5410|534,1289|534,1949|550,14424|559,15420|624,1087|626,2115|643,3078|645,2353|645,4721|648,1962|662,3364|662,3437|707,34032|715,3741|725,527|811,23547|820,12532|825,4232|836,8216|836,11764|836,21892|878,5023|883,4661|883,5169|920,1119|931,6828|931,7902|940,2091|1053,15898|1075,1114|1100,2134|1102,1301|1110,2970|1113,12819|1113,23791|1140,6855|1140,12019|1140,12229|1171,1109|1186,4378|1191,4322|1195,1381|1257,3066|1302,11176
dividejinyan 982,4507
dividend 879,3519|879,3596
divina 133,3978|544,3136|550,21432|552,20992|680,7290|680,8867|735,7342|743,14607|776,8006|784,1337|811,17669|811,21872|874,3235|933,12729
divis 115,5986|116,8191|122,5429|129,5859|169,4835|220,811|256,10891|267,5954|282,3705|293,10655|311,7894|361,6914|398,3690|418,6664|478,17424|479,11183|485,9507|507,10876|554,9673|559,23405|563,11339|576,5773|605,794|605,2280|626,979|626,1078|626,4231|737,2080|740,6519|800,2642|822,4519|857,5471|936,4371|1017,6482|1032,9166|1053,23883|1058,5093|1077,5501|1081,17776|1089,6482|1113,36232|1157,12018|1192,3705|1248,15380|1280,3524|1284,5374
divorc 322,11991|322,12153|322,12233|349,3678|349,3719|437,3678|437,3719|500,1573|769,1905|867,116|881,37|881,278|881,426|881,4786|881,5051|1061,8481|1061,8643|1061,8723|1073,1578|1161,2379|1161,2426|1161,2442
divval 306,2550|606,2550
diwakar 1185,2294
diâ 1195,1971|1195,2508
diæcult 99,16223|559,702|1053,702
di容rent 787,648|787,1132
djcook 1145,1142
djmiller 30,1227
dk 20,1164|20,1227|20,1392|20,1465|20,1591|20,1661|20,5958|20,5981|293,2974|479,3658|563,3658|666,908|1032,2974
dkm 1111,8417|1111,8747
dkotzia 92,718|524,835
dks95 282,6733|1192,6733
dl 109,1166|109,1216|212,2533|212,2576|212,2625|405,3478|405,3604|405,3639|405,3837|405,3868|405,3975|405,4001|431,1668|743,3097|743,3294|906,1615|906,1701|1144,6858|1144,7445|1273,1166|1273,1216
dll 464,1965|464,2068
dllp97 282,6954|1192,6954
dlv 851,4336|851,4463|851,7640|851,7767|851,10944|851,11071|851,14182|851,14306
dm 212,1818|212,2982|329,193|349,2101|349,2134|349,2167|349,3131|349,3167|349,3203|349,3239|437,2101|437,2134|437,2167|437,3131|437,3167|437,3203|437,3239|494,3811|494,4071|494,4114|494,4154|494,4187|743,3329|920,1988|1116,2481|1161,4878
dmc 459,2354|459,2360
dmitri 122,4738|234,1415|287,2327|287,2463|368,7022|500,5899|500,6204|680,7794|687,8511|755,3635|806,5634|811,19170|822,2908|836,11838|836,12908|857,3531|1033,7022|1058,4402|1077,3561|1111,25764|1280,4997
dmitriy 82,1636|330,537|680,3180
dmkd 544,4120|874,6625
dn 982,4802|982,17585
dn22 52,844
dna 48,3377|48,6015|48,6130|48,6267|48,8957|58,434|58,1820|99,2660|99,7787|99,12516|99,12577|99,14794|99,19038|99,22885|128,3131|139,11129|139,12361|144,9350|256,4742|256,10146|256,10202|256,12781|293,1348|293,2642|293,2685|293,2964|293,3246|293,3315|355,4697|421,19375|445,455|445,1215|445,1251|445,1398|445,1450|445,1518|445,3178|469,3625|478,18117|479,1558|479,2359|479,3326|479,3369|479,3648|479,3930|479,3999|507,4727|507,10131|507,10187|507,12766|550,17249|550,17305|552,26406|563,1558|563,2359|563,3326|563,3369|563,3648|563,3930|563,3999|636,812|663,455|663,1215|663,1251|663,1398|663,1450|663,1518|663,3178|707,20924|707,39494|732,2353|732,8549|732,8699|732,10913|732,12336|732,12412|732,15025|770,10345|788,434|788,1820|801,849|801,4001|801,8455|801,11548|801,13699|801,13818|836,10444|916,2605|940,1685|940,1699|940,1896|940,2312|940,2418|982,8527|1032,1348|1032,2642|1032,2685|1032,2964|1032,3246|1032,3315|1069,1808|1069,2288|1069,2407|1096,2928|1113,5357|1113,43501|1127,8420|1157,4748|1157,10152|1157,10208|1157,13908|1167,1947|1186,3424|1186,3438|1186,3636|1186,4600|1186,4706|1235,897|1235,1436|1235,1814|1235,2666|1235,3105|1235,3203|1235,3689|1235,4271|1235,4760|1235,5264|1235,5855|1235,6330|1235,6554|1235,6922|1235,6936|1235,7134|1235,7337|1235,7415|1235,7853|1235,8283|1235,8433|1235,9797|1235,10148|1235,10693|1235,10749|1235,11126|1235,11727|1235,12229|1235,12290|1235,12769|1235,13224|1235,13315|1235,13828|1235,14389|1235,14879|1235,15412|1235,15959|1235,16323|1235,16734|1235,16853|1235,17229|1235,17843|1235,19049|1248,16073|1279,855|1279,8797|1279,8858
dnad 823,9759
dnapet 933,7329
dnf 800,5288|800,10578
dntl_in 1091,2281
do 5,360|7,1489|8,947|8,1016|8,1455|24,3582|78,2080|86,3477|86,3534|86,3572|86,3625|97,840|97,1502|97,1719|111,4457|114,3538|116,1271|116,4555|116,7809|128,1276|144,22621|147,1419|184,1041|199,4035|201,3598|203,1499|205,3557|254,3421|256,4100|256,6682|256,7057|263,475|268,4173|289,1005|289,1458|306,1366|319,956|319,1072|319,1146|322,14099|328,5411|368,9359|398,1726|420,356|420,1334|421,7942|421,8373|421,15194|428,752|464,2462|469,1541|469,4860|479,2069|492,2670|492,2680|507,4085|507,6667|507,7042|530,2033|545,1350|552,12188|552,12894|552,13132|552,18534|563,2069|576,1276|581,2164|601,472|601,856|605,1706|606,1366|615,490|621,495|625,1382|625,1415|625,1476|650,1447|680,1262|701,999|707,20726|707,23502|707,32631|721,898|721,1487|721,1751|725,3481|732,4238|732,5131|732,5941|740,4026|765,2164|787,5139|825,5529|831,3350|860,3140|881,4356|883,1872|904,3077|915,1587|982,6806|982,12446|1033,10823|1061,10641|1092,3291|1111,26899|1145,4820|1145,9902|1145,10072|1157,4106|1157,6688|1157,7063|1168,945|1198,2080|1212,1103|1216,3201|1232,910|1257,2807|1270,1305|1279,8032|1279,9244|1300,2793|1302,3234|1303,140|1303,929
dobbi 1134,1649
dobbin 499,2206|806,1215
doc 4,573|83,147|83,163|97,1844|192,2305|192,2453|192,2626|192,2736|192,3241|192,3583|196,133|275,182|284,176|433,149|486,151|583,164|609,151|634,156|699,157|731,2694|952,1819|952,5355|952,5398|1022,138|1277,1663|1302,1625
doccup 204,4118|204,5365|204,6691|1203,4118|1203,5365|1203,6691
doceng 831,2603|831,4582
docid 821,1183|821,2077|821,2096|821,2115|821,2134|821,2157|821,2176|821,2195
doctor 41,2858|52,5040|55,4687|56,7070|58,4918|134,1901|147,1167|204,7552|227,3765|243,3447|253,1129|256,731|256,7281|277,7478|289,1733|293,6269|311,3577|311,5931|355,769|361,3577|361,5931|403,1619|418,1566|418,10725|469,2138|471,2763|478,7307|479,6953|485,5356|485,7710|494,6723|500,1479|500,10849|507,716|507,7266|527,815|532,9910|544,2214|545,1103|554,5356|554,7710|559,6674|563,6953|576,1029|576,3646|581,4326|594,7070|631,5636|707,1077|765,4326|770,4088|787,2540|788,4918|806,5148|823,4100|836,18357|893,2555|912,2858|940,1458|952,1190|982,662|982,8876|982,19969|988,3065|1017,2331|1017,4685|1032,6269|1034,3447|1053,6674|1060,3686|1073,1484|1073,3231|1073,5920|1089,2331|1089,4685|1126,4520|1144,10340|1157,737|1157,7287|1186,3197|1199,3402|1203,7552|1229,3482|1229,4561|1229,6966|1229,9708|1235,6695|1248,6163|1275,661|1276,3065
docum 696,2289
document 30,516|30,615|30,674|30,1784|30,2837|30,2923|30,3053|30,3162|30,3324|30,3510|30,3629|30,3908|30,4088|30,4196|30,4358|30,4470|30,4918|30,5250|30,5938|35,526|35,1414|35,1531|35,1565|35,1621|35,1678|35,1735|35,1841|35,2086|35,2205|35,2441|35,2510|35,2638|35,2673|35,2714|35,2824|35,3300|35,3673|35,3767|44,412|44,1018|44,1142|44,1296|44,1380|44,2221|88,2600|94,1309|95,528|95,1068|95,1299|97,1619|97,1679|97,1736|97,1884|99,8929|108,23|131,43|131,108|131,168|192,2291|227,897|239,5641|239,7397|241,189|270,950|306,1848|330,1269|332,950|355,1293|355,1345|355,1464|355,3226|355,4827|420,4246|420,4576|421,15617|442,37|442,273|442,915|442,1039|442,1100|442,1203|442,1585|442,1794|442,2179|442,2234|442,2406|442,2620|453,332|467,5415|478,18247|481,3291|481,3376|481,4063|510,817|513,6063|513,6097|528,116|536,1140|536,1203|536,1452|542,2065|542,2131|550,13208|589,1318|606,1848|621,434|712,845|716,5504|725,3035|725,3079|725,3183|731,3417|739,1151|743,2374|759,364|763,1764|787,4920|800,10040|801,9497|806,427|806,484|806,866|806,1037|806,1126|806,1380|806,1636|806,2638|806,3130|806,3230|806,3304|806,3512|821,806|821,1140|821,1317|825,2203|831,2577|831,4560|899,448|899,1242|899,1374|899,1769|942,149|952,2135|993,131|995,4078|1006,1883|1006,2391|1070,744|1097,4523|1097,4850|1097,5121|1107,927|1107,1365|1113,20849|1144,342|1158,442|1158,1049|1158,2436|1172,362|1172,1055|1172,1529|1172,1621|1185,2223|1187,163|1204,1653|1204,3440|1232,4304|1235,10257|1235,16453|1245,742|1248,16203|1257,2631
documentarist 567,1741
docword 821,1453|821,2002|900,130|900,152|900,172|900,193|900,217
docx 387,154|548,123|952,128|952,708|952,1456|952,2311
dodg 1265,2293
dodger 120,37|120,270|120,994|120,1381|1083,178|1083,192|1083,208
doe 8,1110|40,1653|41,819|50,278|65,877|81,274|99,11438|99,17855|104,2357|115,5787|129,5660|134,906|144,3435|144,13618|156,286|172,274|179,281|181,274|201,1406|202,1793|218,457|227,5623|232,4682|234,672|256,4336|256,6730|256,7105|256,11876|267,5755|273,347|277,7209|288,284|293,1360|297,294|309,280|319,1375|322,3139|345,278|349,2909|355,1954|355,3556|398,1774|402,277|407,278|417,274|421,14179|437,2909|445,7325|454,363|455,467|469,4148|469,5250|478,16898|479,1564|479,2370|507,4321|507,6715|507,7090|507,11861|518,279|530,1756|550,16338|552,1867|552,14434|552,18257|552,24021|552,24150|559,11119|559,17554|563,1564|563,2370|575,274|580,359|600,293|605,1724|621,1228|625,1727|631,1392|636,7075|640,8349|654,281|657,274|663,7325|668,287|673,1651|676,294|707,4530|707,41477|721,946|721,1799|732,4286|732,5179|732,7768|732,11657|749,274|812,1536|815,274|836,16929|840,308|848,274|856,274|859,286|860,3250|878,4369|878,5186|881,1495|905,874|912,819|915,1797|928,274|933,14394|933,16094|940,3547|941,279|971,274|981,284|1002,274|1008,281|1019,274|1024,276|1026,279|1031,274|1032,1360|1053,11119|1053,18032|1080,280|1111,26959|1113,16789|1140,4651|1144,10911|1151,300|1157,4342|1157,6736|1157,7111|1157,13003|1160,1808|1186,5288|1206,274|1230,274|1235,14003|1248,14854|1251,4785|1253,3508|1261,274|1279,5613|1284,5175|1288,274|1297,1118|1302,1422|1303,1321
